"tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"306","وقت التسجيل","وقت التسجيل","0","0","0","","","","BKA"
"307","الساعات, ETC.","الساعات, ETC.","1","0","0","","","","BKA"
"308","الوصف المادى للأفلام (الارشيفية)-مهمل","الوصف المادى للأفلام (الارشيفية)-مهمل","1","0","0","","","","BKA"
"310","تتابع الصدور الحالى","تتابع الصدور الحالى","0","0","0","","","","BKA"
"315","التتابع - [مهمل]","التتابع - [مهمل]","0","0","0","","","","BKA"
"321","تتابع النشر السابق","تتابع النشر السابق","1","0","0","","","","BKA"
"340","الوسط المادى","الوسط المادى","1","0","0","","","","BKA"
"342","بيانات المرجع الجيو-فضائي","بيانات المرجع الجيو-فضائي","1","0","0","","","","BKA"
"343","بيانات إحداثيات المخطط","بيانات إحداثيات المخطط","1","0","0","","","","BKA"
"350","السعر - [مهمل]","السعر - [مهمل]","1","0","0","","","","BKA"
"351","تنظيم وترتيب المواد","تنظيم وترتيب المواد","1","0","0","","","","BKA"
"352","التمثيل البيانى الرقمى","التمثيل البيانى الرقمى","1","0","0","","","","BKA"
"355","ضبط التصنيف الامنى","ضبط التصنيف الامنى","1","0","0","","","","BKA"
"357","ضبط البث المنشأ","ضبط البث المنشأ","0","0","0","","","","BKA"
"359","سعر التأجير - [مهمل]","سعر التأجير - [مهمل]","0","0","0","","","","BKA"
"362","تواريخ النشر و/أو التعيين التسلسلى","تواريخ النشر و/أو التعيين التسلسلى","1","0","0","","","","BKA"
"365","السعر التجارى","السعر التجارى","1","0","0","","","","BKA"
"366","معلومات الاتاحة التجارية","معلومات الاتاحة التجارية","1","0","0","","","","BKA"
"400","بيانات السلسلة - مدخل إضافى - اسم شخصى,CAN/MARC], [LOCAL, USA]","SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME [OBSOLETE, CAN/MARC], [LOCAL, USA]","1","0","0","","","","BKA"
"410","بيان السلسلة - مدخل إضافى - اسم هيئة,CAN/MARC]","بيان السلسلة - مدخل إضافى - اسم هيئة,CAN/MARC], [LOCAL, USA]","1","0","0","","","","BKA"
"411","بيان السلسلة - مدخل إضافى - عنوان مؤتمر[OBSOLETE, CAN/MARC], [LOCAL, USA]","بيان السلسلة - مدخل إضافى - عنوان مؤتمر[OBSOLETE, CAN/MARC], [LOCAL, USA]","1","0","0","","","","BKA"
"440","بيان السلسلة","بيان السلسلة","0","0","0","","","","BKA"
"490","بيان السلسلة","بيان السلسلة","1","0","0","","","","BKA"
"500","تبصرة عامة","تبصرة عامة","0","0","0","","","","BKA"
"501","تبصرة مع","تبصرة مع","1","0","0","","","","BKA"
"502","تبصرة أطروحة","تبصرة أطروحة","1","0","0","","","","BKA"
"503","تبصرة التاريخ الببليوجرافى-مهمل","تبصرة التاريخ الببليوجرافى-مهمل","1","0","0","","","","BKA"
"504","تبصرة  ببليوجرافية","تبصرة  ببليوجرافية","1","0","0","","","","BKA"
"505","تبصرة المحتوى","تبصرة المحتوى","0","0","0","","","","BKA"
"506","تبصرة قيود الاتاحة","تبصرة قيود الاتاحة","1","0","0","","","","BKA"
"507","تبصرة مقياس الرسم للمادة البيانية","تبصرة مقياس الرسم للمادة البيانية","0","0","0","","","","BKA"
"508","تبصرة بيان مسؤلية الانتاج","تبصرة بيان مسؤلية الانتاج","1","0","0","","","","BKA"
"509","تبصرة شكلية(RLIN)","تبصرة شكلية(RLIN)","0","0","0","","","","BKA"
"510","تبصرة الاستشهاد -المراجع","تبصرة الاستشهاد -المراجع","1","0","0","","","","BKA"
"511","ملاحظة المشارك أو المؤدى","ملاحظة المشارك أو المؤدى","1","0","0","","","","BKA"
"512","ملاحظة المجلدات السابقة او اللاحقة المفهرسة على حده - [مهمل]","ملاحظة المجلدات السابقة او اللاحقة المفهرسة على حده - [مهمل]","1","0","0","","","","BKA"
"513","تبصرة نوع التقرير و الفترة المغطاة","تبصرة نوع التقرير و الفترة المغطاة","1","0","0","","","","BKA"
"514","تبصرة جودة البيانات","تبصرة جودة البيانات","0","0","0","","","","BKA"
"515","تبصرة خصوصيات الترقيم","تبصرة خصوصيات الترقيم","1","0","0","","","","BKA"
"516","تبصرة نوع البيانات او ملفات الحاسب","تبصرة نوع البيانات او ملفات الحاسب","1","0","0","","","","BKA"
"517","تبصرة فئات الافلام (الارشيفية)-مهمل","تبصرة فئات الافلام (الارشيفية)-مهمل","0","0","0","","","","BKA"
"518","تبصرة تاريخ/وقت ومكان الحدث","تبصرة تاريخ/وقت ومكان الحدث","1","0","0","","","","BKA"
"520","ملخص / مستخلص","ملخص / مستخلص","0","0","0","","","","BKA"
"521","تبصرة الجمهور المستهدف","تبصرة الجمهور المستهدف","1","0","0","","","","BKA"
"522","تبصرة التغطية الجغرافية","تبصرة التغطية الجغرافية","1","0","0","","","","BKA"
"523","الفترة الزمنية لتبصرة المحتوى","الفترة الزمنية لتبصرة المحتوى","0","0","0","","","","BKA"
"524","تبصرة الاستشهاد المفضل للمادة الموصوفة","تبصرة الاستشهاد المفضل للمادة الموصوفة","1","0","0","","","","BKA"
"525","تبصرة ملاحق","تبصرة ملاحق","1","0","0","","","","BKA"
"526","تبصرة معلومات البرنامج الدراسى","تبصرة معلومات البرنامج الدراسى","0","0","0","","","","BKA"
"527","تبصرة الرقابة - مهمل]","تبصرة الرقابة [مهمل]","1","0","0","","","","BKA"
"530","تبصرة أشكال مادية أخرى متاحة","تبصرة أشكال مادية أخرى متاحة","1","0","0","","","","BKA"
"533","تبصرة الاستنساخ","تبصرة الاستنساخ","1","0","0","","","","BKA"
"534","تبصرة النسخة الأصلية","تبصرة النسخة الأصلية","1","0","0","","","","BKA"
